year,revenue_index,vs_base_pct,hospitality_revenue_m,revenue_growth_pct,hospitality_vacancies,vacancy_pressure_index
2008,91.6,-0.084,77505.9,0,60083,0.78
2009,84.7,-0.153,70008.1,-0.0967,42083,0.60
2010,87.9,-0.121,69802.6,-0.0029,45167,0.65
2011,92.6,-0.074,72947.5,0.0451,44667,0.61
2012,92.7,-0.073,74960.1,0.0276,48833,0.65
2013,99.2,-0.008,75504.9,0.0073,55250,0.73
2014,95.3,-0.047,80266.1,0.0631,71417,0.89
2015,93.3,-0.067,85343.6,0.0633,81167,0.95
2016,99.5,-0.005,93100.5,0.0909,81000,0.87
2017,105.5,0.055,98350.2,0.0564,91500,0.93
2018,103.9,0.039,99169.5,0.0083,91583,0.92
2019,105.6,0.056,105744,0.0663,92000,0.87
2020,65.2,-0.348,57587.3,-0.4554,43750,0.76
2021,84.5,-0.155,83046.3,0.4421,102333,1.23
2022,103,0.03,123959,0.4926,162000,1.31
2023,100,0,135282.3,0.0913,125750,0.93
2024,99.9,-0.001,138673.4,0.0251,97750,0.70
